"writerid";"name"
11730;"Aptekman, Igor"
11791;"Arabov, Yuri"
11887;"Araki, Gregg"
11907;"Aralica, Ivan"
11963;"Aranda, Vicente"
12029;"Arata, David (I)"
12171;"Arbuckle, Roscoe 'Fatty'"
12194;"Arcalli, Franco"
12239;"Arch, Jeff"
12314;"Archibald, William (II)"
12626;"Argento, Dario"
12644;"Argo, Victor"
12973;"Arliss, Leslie"
13120;"Armstrong, Anthony (I)"
13124;"Armstrong, Arnold B."
13154;"Armstrong, Curtis"
13188;"Armstrong, Jerome (I)"
13219;"Armstrong, Michael (I)"
13224;"Armstrong, Mike (I)"
13247;"Armstrong, Scot (I)"
13436;"Arnold, Elliott"
13446;"Arnold, Jack (I)"
13534;"Arnott, David (I)"
13607;"Aronofsky, Darren"
13681;"Arout, Gabriel"
13702;"Arpino, Giovanni"
13914;"Arsenev, Vladimir"
14007;"Arteta, Miguel"
14356;"Asbury, Kelly"
14439;"Aseyev, Nikolai"
14450;"Ash, Albert"
14566;"Asher, William (I)"
14611;"Ashley, Audrey"
14640;"Ashley, Ray"
14651;"Ashman, Howard"
14771;"Asimov, Isaac"
14899;"Asmussen, Peter (I)"
14988;"Assayas, Olivier"
15007;"Assenza, Tony (I)"
15361;"Atkins, Eileen"
15389;"Atkins, Peter (I)"
15450;"Atkinson, Rowan"
15474;"Atlas, Leopold"
15530;"Attanasio, Paul"
15605;"Atwater, Gladys"
15711;"Aubrac, Lucie"
15734;"Aubrée, Patrick"
15782;"Audiard, Jacques"
15783;"Audiard, Michel"
15814;"Auel, Jean M."
15835;"Auerbach, Michael"
15889;"August, Bille"
15892;"August, John (I)"
16042;"Aurenche, Jean"
16059;"Aurthur, Robert Alan"
16085;"Austen, Jane (I)"
16092;"Auster, Paul"
16165;"Austin, Michael (I)"
16171;"Austin, Philip (I)"
16304;"Avary, Roger"
16308;"Avati, Pupi"
16617;"Awdry, Rev. W."
16638;"Axelrod, George"
16756;"Ayckbourn, Alan"
16783;"Ayer, David"
16821;"Aykroyd, Dan"
16822;"Aykroyd, Peter"
16875;"Ayre, Jon"
16992;"Azcona, Rafael"
17187;"Azéma, Jean-Pierre"
17336;"Babbit, Jamie"
17352;"Babcock, Dwight V."
17358;"Babe, Thomas"
17475;"Baca, Jimmy Santiago"
17532;"Bach, Danilo"
17544;"Bach, Jean (I)"
17575;"Bache, Ellyn"
17692;"Backes, Michael"
17763;"Bacri, Jean-Pierre"
17771;"Bada, Emmanuelle"
17847;"Badger, Phillip"
17977;"Baer Jr., Max"
17985;"Baer, David (I)"
18165;"Bagnall, Alison"
18272;"Bahr, Fax"
18347;"Baigelman, Steven (II)"
18370;"Bailey II, Charles W."
18414;"Bailey, Chris (I)"
18627;"Bainbridge, Beryl"
18723;"Baitz, Jon Robin"
18797;"Bakalian, Peter"
18859;"Baker, Bob (II)"
18949;"Baker, Herbert (I)"
19014;"Baker, Mark H. (I)"
19043;"Baker, Noel S."
19363;"Balasko, Josiane"
19435;"Baldacci, David"
19471;"Balderston, John L."
19553;"Baldwin, Earl (I)"
19571;"Baldwin, Karen Elise"
19740;"Ball, Alan (I)"
19771;"Ball, John (I)"
19850;"Ballard, Glen"
19851;"Ballard, J.G."
20164;"Balázs, Béla (I)"
20337;"Bandis, Helen"
20355;"Bandyopadhyay, Bibhutibhushan"
20414;"Banfield, George J."
20571;"Banks, Lynne Reid"
20591;"Banks, Russell (I)"
20702;"Banta, Milt"
20720;"Banville, John"
20888;"Baran, Jack"
20978;"Baratta, Dana (I)"
21045;"Barbash, Bob"
21139;"Barbera, Joseph"
21152;"Barberi, Franco"
21452;"Bardem, Miguel"
21598;"Barhydt, Frank (II)"
21614;"Baricco, Alessandro"
21656;"Barish, Leora"
21722;"Barker, Clive (I)"
21775;"Barker, Pat (II)"
22078;"Barnes, Julian (II)"
22105;"Barnes, Peter (I)"
22730;"Barrett, Shirley"
22770;"Barrie, J.M."
22774;"Barrie, Michael (I)"
22801;"Barringer, Michael (I)"
22910;"Barron, Steve"
23057;"Barry, John (III)"
23063;"Barry, Julian"
23091;"Barry, Neill (I)"
23099;"Barry, Philip (I)"
23108;"Barry, Simon (I)"
23157;"Barsocchini, Peter"
23178;"Bart, Lionel"
23332;"Bartlett, Hall"
23361;"Bartlett, Sy"
23398;"Bartolini, Luigi"
23449;"Barton, Hollis"
23560;"Barwood, Hal"
23567;"Barylli, Gabriel"
23569;"Baryshnikov, Mikhail"
23743;"Basil, Harry"
23842;"Bass, Kim"
23856;"Bass, Ronald"
23870;"Bassani, Giorgio"
24069;"Basu, Kanailal"
24151;"Batchler, Janet Scott"
24152;"Batchler, Lee"
24221;"Bates, H.E."
24222;"Bates, Harry (I)"
24367;"Battaglia, Aurelius"
24384;"Batteer, Joe"
24391;"Battersby, Bradley"
24425;"Battistrada, Lucio"
24432;"Battle, John Tucker"
24477;"Bauchau, Patrick"
24533;"Bauer, Fred (I)"
24539;"Bauer, Hans (I)"
24596;"Bauer, Tristán"
24661;"Baum, L. Frank"
24673;"Baum, Vicki (I)"
24734;"Baumbach, Noah"
24888;"Bava, Mario"
24936;"Baxt, George"
24973;"Baxter, Jack (I)"
25273;"Beach, Edward L."
25291;"Beach, Wayne (I)"
25313;"Beagle, Peter S."
25318;"Beaird, David"
25405;"Beane, Douglas Carter"
25524;"Beattie, Richard (I)"
25556;"Beatty, Warren (I)"
25638;"Beaufoy, Simon"
25650;"Beaujour, Jérôme"
25656;"Beaulieu, Marcel (I)"
25661;"Beaulieu, Trace"
25664;"Beauman, Phil"
25669;"Beaumont, Charles (I)"
25898;"Beck, John (III)"
26025;"Becker, Jurek"
26173;"Beckner, Michael Frost"
26339;"Beebe, Dick"
26390;"Beeding, Frances"
26642;"Behm, Marc"
26663;"Behr, Jack (I)"
26707;"Behrman, S.N."
26760;"Beineix, Jean-Jacques"
26762;"Beinhart, Larry (I)"
26785;"Beitel, Garry"
26848;"Bekolo, Jean-Pierre"
26927;"Belcon, Garth"
27078;"Bell, Angelo"
27102;"Bell, Christine (I)"
27130;"Bell, Elisa"
27572;"Bellwood, Peter"
27612;"Beloin, Edmund"
27654;"Belson, Jerry"
27730;"Belvaux, Rémy"
27772;"Bemberg, María Luisa"
27774;"Bemelmans, Ludwig"
27868;"Benabib, Roberto"
27983;"Benchley, Peter"
27984;"Benchley, Robert"
27991;"Bencivenni, Alessandro"
28068;"Bendinger, Jessica"
28114;"Benedek, Barbara (I)"
28122;"Benedek, Tom"
28243;"Benet i Jornet, Josep Maria"
28283;"Bengal, Ben"
28345;"Benigni, Roberto"
28531;"Bennett, Alan (I)"
28566;"Bennett, Charles (I)"
28606;"Bennett, Harve"
28672;"Bennett, Parker"
28691;"Bennett, Ronan"
28770;"Bennison, Andrew"
28798;"Benoit, Nicole (II)"
28806;"Benoît, Jean-Louis"
28878;"Benson, Hugh (I)"
28908;"Benson, Michael (II)"
28935;"Benson, Sally (I)"
28978;"Bentham, Trevor"
29020;"Bentley, Robert (III)"
29054;"Benton, Robert (I)"
29080;"Benullo, David"
29090;"Benvenuti, Leo"
29091;"Benvenuti, Leonardo"
29236;"Bercovici, Eric"
29239;"Bercovici, Leonardo"
29243;"Bercovitch, Reuben"
29298;"Berendt, John"
29337;"Beresford, Bruce"
29427;"Berg, James"
29461;"Berg, Peter (I)"
29603;"Berger, John (II)"
29634;"Berger, Phil (I)"
29659;"Berger, Thomas (II)"
29754;"Berglund, Per"
29757;"Bergman, Andrew (I)"
29769;"Bergman, Ingmar"
29778;"Bergman, Martin (II)"
29784;"Bergman, Peter (I)"
29793;"Bergman, Yael"
29815;"Bergmann, Rudolf"
29852;"Bergren, Eric"
29864;"Bergstein, Eleanor"
29959;"Berkeley, Anthony"
29963;"Berkeley, Martin"
29965;"Berkeley, Reginald"
29976;"Berkey, Brian Fair"
29994;"Berkman, Oliver"
30025;"Berkowitz, Myles"
30059;"Berlin, Irving (I)"
30074;"Berliner, Alain"
30105;"Berman, Barry (I)"
30143;"Berman, Rick (I)"
30152;"Berman, Ted"
30173;"Bermel, Pat"
30430;"Bernds, Edward (I)"
30441;"Berne, Josef"
30446;"Berneis, Peter"
30480;"Bernhard, Harvey"
30574;"Bernstein, Adam (I)"
30586;"Bernstein, Armyan"
30611;"Bernstein, Gregory"
30619;"Bernstein, Jack (I)"
30631;"Bernstein, Jon (I)"
30641;"Bernstein, Marcos"
30655;"Bernstein, Sara (I)"
30661;"Bernstein, Walter"
30668;"Bernt, Eric (I)"
30715;"Berri, Claude"
30821;"Berry, Michael (II)"
31036;"Bertolini, Christopher (I)"
31047;"Bertolucci, Bernardo"
31248;"Bessa-Luís, Agustina"
31281;"Besset, Jean-Marie"
31291;"Bessie, Alvah"
31307;"Besson, Luc"
31535;"Betuel, Jonathan R."
31597;"Bevan, Donald"
31630;"Bevilacqua, Alberto (I)"
32161;"Bianchi, Bruno (I)"
32218;"Biancoli, Oreste"
32341;"Bickham, Jack M."
32378;"Biddle, Cordelia Drexel"
32391;"Biderman, Ann"
32430;"Biederman, Jim"
32517;"Bienen, Andy"
32618;"Bigelow, Kathryn"
32719;"Bijelic, André"
32866;"Billett, Stewart C."
32961;"Bilson, Danny"
32997;"Binchy, Maeve"
33004;"Binder, Carl"
33007;"Binder, John (I)"
33018;"Binder, Otto"
33059;"Bing, Steve"
33144;"Binyon, Claude"
33223;"Birckmayer, Harry"
33230;"Bird, Brad (I)"
33343;"Birkin, Andrew"
33594;"Bishop, John (IV)"
33603;"Bishop, Larry"
33607;"Bishop, Mark (I)"
33673;"Bissell, Richard (I)"
33785;"Bitterman, Shem"
33838;"Bixby, Jerome"
34027;"Black, Carol (I)"
34066;"Black, J. Anderson"
34093;"Black, John D.F."
34152;"Black, Shane (I)"
34205;"Blackburn, Thomas W."
34421;"Blair, Dennis (I)"
34446;"Blair, Jon (I)"
34454;"Blair, Lee (I)"
34475;"Blair, Rikki Beadle (I)"
34557;"Blake, Jeanne (I)"
34578;"Blake, Michael (I)"
34607;"Blake, Tessa (I)"
34634;"Blakemore, Michael"
34639;"Blakeney, Eric"
34695;"Blanc, Michel (I)"
34760;"Blanche, Francis"
34911;"Blank, Dorothy Ann"
34984;"Blasband, Philippe"
34991;"Blasco Ibáñez, Vicente"
35018;"Blasi, Vera"
35067;"Blatty, William Peter"
35095;"Blaustein, Barry W."
35173;"Blechman, Corey"
35246;"Blessing, Lee"
35302;"Blier, Bertrand"
35333;"Blinn, Stephan"
35373;"Blixen, Karen"
35413;"Bloch, Robert (I)"
35423;"Blochman, Lawrence G."
35444;"Block, Doug (I)"
35449;"Block, Irving"
35459;"Block, Lawrence (I)"
35460;"Block, Lawrence (II)"
35519;"Blokker, Jan (I)"
35642;"Bloom, Jeffrey (I)"
35667;"Bloom, Steve (VI)"
35735;"Blount Jr., Roy"
35784;"Bluel, Richard M."
35808;"Blum, Deborah (I)"
35810;"Blum, Edwin"
35826;"Blum, Len"
35855;"Blumberg, Stuart"
35889;"Blumenthal, Jason"
35891;"Blumenthal, John"
35944;"Bluth, Don"
36045;"Boam, Jeffrey"
36059;"Boardman, Paul Harris"
36072;"Boasberg, Al"
36287;"Bodden, Anthony"
36312;"Bodeen, DeWitt"
36394;"Bodrero, James"
36400;"Bodrov, Sergey"
36434;"Boedoe, Geefwee"
36452;"Boehm, Sydney"
36645;"Bogdanove, Jon"
36655;"Bogdanovich, Peter"
36744;"Bogosian, Eric"
36785;"Bohbot, Roger"
36792;"Bohem, Leslie"
36895;"Boileau, Pierre"
36966;"Boito, Arrigo"
37151;"Bolgarin, Igor"
37267;"Bologna, Gabriel"
37268;"Bologna, Joseph"
37281;"Bolotin, Craig"
37303;"Bolt, Crispan"
37305;"Bolt, Neville"
37307;"Bolt, Robert"
37331;"Bolton, Guy (I)"
37373;"Bolzoni, Adriano"
37551;"Bond, Edward (I)"
37563;"Bond, Jonathan (I)"
37795;"Bonicelli, Vittorio"
37858;"Bonitzer, Pascal"
38026;"Bont, Jan de"
38065;"Bonzel, André"
38122;"Boon, Ed"
38129;"Boon, Louis Paul"
38180;"Boorman, John"
38182;"Boorman, Telsche"
38256;"Booth, Margaret (I)"
38419;"Bordewijk, Ferdinand"
38726;"Bornedal, Ole"
38912;"Borsos, Phillip"
38936;"Borthwick, Dave"
38944;"Bortman, Michael"
38945;"Bortnik, Aída"
39245;"Bost, Pierre"
39271;"Boston, Michael"
39278;"Bostwick-Singer, Eugenia"
39533;"Bouchard, Sylvie (I)"
39655;"Boughedir, Férid"
39708;"Boulanger, Daniel"
39740;"Boulle, Pierre"
40120;"Bouzid, Nouri"
40143;"Bovell, Andrew"
40198;"Bowe, John (III)"
40220;"Bowen, Elizabeth (I)"
40321;"Bowers, William (I)"
40380;"Bowles, Paul"
40544;"Boyce, Brandon"
40654;"Boyd, Todd (I)"
40660;"Boyd, William (II)"
40824;"Boyle, T. Coraghessan"
41011;"Brach, Gérard"
41043;"Brackett, Charles"
41045;"Brackett, Leigh"
41049;"Brackman, Jacob"
41075;"Bradbury, Ray"
41085;"Braddock, Reb"
41188;"Bradley, Elizabeth (III)"
41235;"Bradley, Omar N."
41236;"Bradley, Pat (II)"
41350;"Brady, Michael (I)"
41356;"Brady, Pam"
41374;"Brady, William A."
41400;"Braga, Brannon"
41508;"Braine, John"
41517;"Braithwaite, E.R."
41565;"Bram, Christopher"
41626;"Branagh, Kenneth"
41638;"Brancato, Chris"
41640;"Brancato, John D."
41789;"Brandner, Gary"
41923;"Brandwynne, Marcia"
41977;"Brannon, Ash"
42037;"Braoudé, Patrick"
42522;"Brecher, Irving"
42533;"Brecht, Bertolt"
42544;"Breckman, Andy"
42628;"Breen, Richard L."
42641;"Breffort, Alexandre"
42690;"Breillat, Catherine"
42691;"Breiman, Valerie"
42783;"Bren, J. Robert"
42860;"Brennan, John G."
42881;"Brennan, Neal"
42940;"Brenner, Marie"
43027;"Breslin, Mark (I)"
43031;"Breslow, Lou"
43109;"Brett, Jonathan (I)"
43323;"Brice, Monte"
43359;"Bricker, George"
43361;"Brickhill, Paul"
43367;"Brickman, Marshall"
43369;"Brickman, Paul (I)"
43376;"Bricusse, Leslie"
43416;"Bridges, James (I)"
43442;"Bridie, James"
43574;"Bright, Matthew (I)"
43592;"Brightman, Homer"
43595;"Brightman, Stanley (II)"
43633;"Briley, John (I)"
43648;"Brill, Steven (I)"
43666;"Brilmayer, Robert"
43680;"Brin, David (I)"
43973;"Brizzi, Gaëtan"
43975;"Brizzi, Paul"
44090;"Brock, Deborah"
44096;"Brock, Jeremy (I)"
44160;"Brodax, Al"
44162;"Brodbin, Kevin"
44170;"Broder, Adam Larson"
44184;"Broderick, Patricia"
44216;"Brodie, Kevin"
44230;"Brodney, Oscar"
44399;"Bromfield, Louis"
44492;"Brontë, Charlotte"
44516;"Brook, Peter (I)"
44563;"Brooker, Greg"
44578;"Brookfield, William"
44600;"Brooks, Adam (I)"
44604;"Brooks, Albert (I)"
44684;"Brooks, James L."
44725;"Brooks, Mel (I)"
44744;"Brooks, Richard (I)"
44857;"Brosh McKenna, Aline (I)"
44864;"Brosnan, John (I)"
44871;"Bross, Eric"
44965;"Brougher, Hilary"
45140;"Brown, Art Edler"
45191;"Brown, Bruce (I)"
45249;"Brown, Christy (I)"
45276;"Brown, Dana (II)"
45418;"Brown, Harry (I)"
45441;"Brown, J. Randolph"
45493;"Brown, Jeffrey D. (I)"
45596;"Brown, Leigh (I)"
45597;"Brown, Len (II)"
45624;"Brown, Mark (I)"
45633;"Brown, Martin (I)"
45685;"Brown, Michael Henry"
45770;"Brown, Rita Mae"
45771;"Brown, Riwia"
45788;"Brown, Rosellen"
45979;"Browne, Chris (I)"
46058;"Browning, Michael (I)"
46062;"Browning, Ricou"
46071;"Browning, Tod"
46073;"Brownjohn, John"
46111;"Broyles Jr., William"
46234;"Bruckman, Clyde"
46246;"Bruckner, Pascal"
46353;"Brulé, Claude"
46442;"Bruneau, Philippe"
46447;"Brunel, Adrian"
46465;"Bruner, James (I)"
46549;"Brunner, Bob"
46671;"Brusati, Franco"
46976;"Brännström, Brasse"
47184;"Buchan, John (I)"
47216;"Buchanan, James D."
47221;"Buchanan, Joan"
47236;"Buchanan, Thompson"
47272;"Buchheim, Lothar G."
47282;"Buchholz, Bob"
47304;"Buchman, Harold (I)"
47306;"Buchman, Sidney"
47336;"Buck, Chris (II)"
47360;"Buck, Pearl S."
47396;"Buckingham, R."
47415;"Buckler, Robert"
47504;"Buckner, Robert"
47524;"Bucquoy, Jan"
47779;"Bufford, Takashi"
47788;"Buford, Gordon"
47789;"Buford, Kenny"
47830;"Buhai, Jeff"
47862;"Bui, Timothy Linh"
47863;"Bui, Tony (I)"
48222;"Bunker, Edward"
48227;"Bunker, Robert"
48345;"Burbridge, Betty"
48370;"Burchard, Peter"
48403;"Burden, Bob"
48480;"Burg, Andy"
48551;"Burgess, Anthony (I)"
48738;"Burke, Erik (I)"
48751;"Burke, James (II)"
48754;"Burke, James Lee (I)"
48877;"Burkin, Stuart"
48995;"Burnett, Alan"
48997;"Burnett, Allison"
49003;"Burnett, Charles (I)"
49008;"Burnett, Frances Hodgson"
49031;"Burnett, Murray (I)"
49039;"Burnett, W.R."
49050;"Burnford, Sheila"
49117;"Burns, Edward (I)"
49131;"Burns, Jack (II)"
49172;"Burns, Mark R."
49222;"Burns, Tim (II)"
49232;"Burns, William J."
49241;"Burnstein, Jim"
49320;"Burroughs, Edgar Rice"
49328;"Burroughs, William S."
49335;"Burrows, Abe"
49413;"Burt, Frank (IV)"
49498;"Burton, Mark (IV)"
49499;"Burton, Michael (I)"
49535;"Burton, Tim (I)"
49611;"Buscemi, Steve"
49615;"Busch, Charles (I)"
49637;"Busch, Niven"
49767;"Busia, Akosua"
50031;"Butler, David (II)"
50045;"Butler, Frank (I)"
50053;"Butler, Hugo"
50092;"Butler, Michael (II)"
50225;"Buttgereit, Jörg"
50333;"Buñuel, Luis"
50354;"Byatt, A.S."
50379;"Byer, Troy"
50386;"Byers, Danny"
50500;"Byrne, Gabriel"
50591;"Byron, Lord"
50601;"Byrum, John"
50615;"Bythewood, Reggie Rock"
50721;"Béhat, Gilles"
50959;"Büscher, Jürgen"
51463;"Caffaro, Cheri"
51568;"Cahill, Tim (I)"
51606;"Cai, Shangjun"
51648;"Caillou, Alan"
51669;"Cain, James M."
51696;"Caine, Hall"
51698;"Caine, Jeffrey"
51856;"Caland, Philippe"
51971;"Calderon, Paul (I)"
52063;"Caldwell, Helen (I)"
52301;"Callaway, Trey"
52731;"Camerini, Mario"
52775;"Cameron, James (I)"
52794;"Cameron, Lorne"
52876;"Caminito, Augusto"
52941;"Camp, Joe (I)"
52987;"Campanella, Juan José"
53014;"Campbell Jr., John W."
53025;"Campbell, Alan (I)"
53286;"Campbell, R. Wright"
53397;"Campion, Anna"
53404;"Campion, Jane"
53559;"Camus, Albert (I)"
53600;"Canals, Cuca"
53624;"Canaway, W.H."
53644;"Candaele, Kelly"
53841;"Canning, Victor"
53887;"Cannon, Lowell (I)"
53900;"Cannon, Raymond"
53912;"Cannon, William H."
54285;"Capetanos, Leon"
54362;"Capobianco, Jim"
54400;"Capote, Truman"
54489;"Capra, Frank"
54584;"Carabatsos, James"
54660;"Carax, Leos"
54758;"Carcaterra, Lorenzo"
54909;"Cardone, J.S."
54966;"Carducci, Mark Patrick"
55066;"Carey, Peter (I)"
55084;"Cargerman, Jill"
55177;"Carle, Cynthia"
55187;"Carlei, Carlo"
55273;"Carlino, Lewis John"
55467;"Carlton, Rex (I)"
55616;"Carnahan, Joe"
55639;"Carneiro, João Emanuel"
55653;"Carner, Charles Robert"
55746;"Caro, Marc"
55789;"Caron, Glenn Gordon"
55825;"Carothers, AJ"
55876;"Carpenter, John (I)"
55914;"Carpenter, Stephen (I)"
55970;"Carr, Allan"
55989;"Carr, Colby"
56266;"Carrey, Jim"
56364;"Carrington, James (I)"
56401;"Carrière, Jean-Claude"
56474;"Carroll, Jim (I)"
56491;"Carroll, Lewis"
56512;"Carroll, Richard (II)"
56525;"Carroll, Sidney"
56538;"Carroll, Willard (I)"
56631;"Carson, L.M. Kit"
56641;"Carson, Robert (VI)"
56729;"Carter, Chris (I)"
56758;"Carter, Forrest"
56800;"Carter, Joseph (I)"
56875;"Carter, Rubin 'Hurricane'"
56967;"Cartwright, Carroll"
56970;"Cartwright, Jim (I)"
56978;"Cartwright, Randy"
57122;"Carver, Raymond"
57245;"Casano, Denise"
57349;"Casci, David"
57416;"Casella, Alberto"
57496;"Casey, Warren (I)"
57508;"Cash, Jim (I)"
57592;"Caspary, Vera"
57630;"Cassady, Neal"
57654;"Cassavetes, John (I)"
57655;"Cassavetes, Nick"
57931;"Castellaneta, P.J. (I)"
58223;"Castle, Nick (I)"
58408;"Castro, Rick"
58450;"Caswell, Robert"
58556;"Catena, Víctor Andrés"
58939;"Cavani, Liliana"
58999;"Cavett, Frank"
59066;"Cayatte, André"
59219;"Cecchi D'Amico, Suso"
59224;"Cecchi, Emilio"
59285;"Cedeno, Michael (I)"
59315;"Cedric the Entertainer"
59528;"Centeno-Rodriguez, Ravel"
59582;"Cerami, Vincenzo"
59590;"Ceraso, Chris"
59604;"Cercone, Janus"
59753;"Cerrone, Mike"
59872;"Cesario, Jeff"
59951;"Cha, Louis"
59974;"Chabon, Michael"
59994;"Chabriel, Joan Claire"
59998;"Chabrol, Claude"
60058;"Chadha, Gurinder"
60160;"Chaiken, Ilene"
60194;"Chaiton, Sam"
60318;"Chalopin, Jean"
60383;"Chamberlin, Doug (II)"
60567;"Champion, John C."
60579;"Champnella, Eric"
60665;"Chan, Gordon"
60678;"Chan, Jackie (I)"
60763;"Chan, Teddy (I)"
60844;"Chandlee, Harry"
60857;"Chandler, Elizabeth (I)"
60859;"Chandler, Evan (I)"
60887;"Chandler, Raymond"
61168;"Chanslor, Roy"
61246;"Chapin, Anna Alice"
61272;"Chaplin, Charles"
61283;"Chaplin, Paul (I)"
61296;"Chapman, Andrew (I)"
61302;"Chapman, Brenda (I)"
61330;"Chapman, Graham"
61365;"Chapman, Matthew (I)"
61383;"Chapman, Richard (I)"
61387;"Chapman, Robin (I)"
61398;"Chapman, Vera"
61435;"Chappelle, Dave"
61444;"Chapple, Geoff"
61594;"Charles, Glen"
61607;"Charles, Les"
61638;"Charles-Williams, Liz"
61743;"Charrière, Henri"
61758;"Charteris, Leslie"
61825;"Chase, Borden"
61847;"Chase, James Hadley"
61859;"Chase, Mary (I)"
61868;"Chase, Peter (I)"
61896;"Chaskin, David"
61967;"Chatrian, Alexandre"
62169;"Chavance, Louis"
62268;"Chayefsky, Paddy"
62319;"Cheavens, Martha"
62342;"Cheda, Mike"
62409;"Chekhov, Anton"
62410;"Chekhov, Ivan"
62448;"Chelsom, Peter"
62480;"Chen, Baichen"
62563;"Chen, Jianyu"
62573;"Chen, Joan (I)"
62577;"Chen, Kaige"
62650;"Chen, Wengui"
62928;"Chernoff, Joel"
62943;"Chernuchin, Michael S."
62944;"Chernus, Sonia"
62963;"Cherot, Christopher Scott"
63188;"Cheung, Tung Cho 'Joe'"
63223;"Chevallier, François"
63248;"Chevillat, Dick"
63632;"Child, Lincoln"
63656;"Childress, Helen"
63661;"Childress, Mark"
63789;"Chin, Stephen (I)"
64150;"Cho, Margaret"
64189;"Chodorov, Edward"
64385;"Cholodenko, Lisa"
64389;"Cholot, Pierre"
64433;"Chong, Tommy"
64523;"Chosson, Pierre"
65010;"Christie, Dick (I)"
65134;"Christopher, Mark (I)"
65340;"Chudnow, Dick"
65474;"Chung, Peter"
65582;"Chute, Carolyn"
65640;"Chéreau, Patrice"
