"actorid";"name";"sex"
3681;"Aberdeen, Robert";"M"
3733;"Abernathy, Lewis";"M"
3740;"Abernathy, Ralph";"M"
3764;"Abers, William";"M"
3781;"Abesamis, Americus";"M"
3796;"Abete, Clemente";"M"
3818;"Abeyta, John Christopher";"M"
3882;"Abi-Ad, Joseph";"M"
3976;"Abineri, John";"M"
4010;"Abiskaron, John";"M"
4047;"Abkarian, Simon";"M"
4058;"Ablaza, Billy Joel";"M"
4066;"Able, Albert";"M"
4151;"Abney, William";"M"
4232;"Abossolo M'bo, Emile";"M"
4233;"Abot, Didier";"M"
4258;"Abou Khalil, Fadi";"M"
4275;"Abou-Ganim, Tony";"M"
4333;"Aboulela, Amir";"M"
4343;"Abounouom, Ahmed";"M"
4357;"Aboutboul, Alon";"M"
4398;"Abraham, Abraham";"M"
4419;"Abraham, Cesar";"M"
4448;"Abraham, F. Murray";"M"
4450;"Abraham, Falconer";"M"
4461;"Abraham, Jake (II)";"M"
4472;"Abraham, John (II)";"M"
4477;"Abraham, Jorge";"M"
4490;"Abraham, Marc (I)";"M"
4521;"Abraham, Richard";"M"
4536;"Abraham, Sean";"M"
4548;"Abraham, Walter";"M"
4556;"Abraham-Kremer, Bruno";"M"
4580;"Abrahams, Charlie";"M"
4590;"Abrahams, Doug";"M"
4600;"Abrahams, Irving";"M"
4602;"Abrahams, Jamie";"M"
4604;"Abrahams, Jim";"M"
4605;"Abrahams, Jody";"M"
4607;"Abrahams, Jon (I)";"M"
4609;"Abrahams, Jonathan";"M"
4611;"Abrahams, Joseph 'Bambi'";"M"
4667;"Abrahamson, Peter";"M"
4700;"Abrahms, Edward";"M"
4781;"Abramov, Oleg";"M"
4881;"Abrams, Dennis";"M"
4909;"Abrams, J.J.";"M"
4954;"Abrams, Noah";"M"
4972;"Abrams, Sol";"M"
4973;"Abrams, Solomon";"M"
5012;"Abramson, Jeffrey (I)";"M"
5034;"Abramson, Stuart";"M"
5079;"Abratowski, Ed";"M"
5094;"Abrego, Fidel";"M"
5104;"Abrell, Brad";"M"
5163;"Abreu, Jorge Luis";"M"
5164;"Abreu, Jorne";"M"
5268;"Abrishami, Khosrow";"M"
5282;"Abrolat, Werner";"M"
5380;"Absolom, Malcolm";"M"
5552;"Abuba, Ernest";"M"
5608;"Abugov, Adam";"M"
5609;"Abugov, Jeff";"M"
5610;"Abugov, Tyler";"M"
5681;"Abuse, Bob";"M"
5733;"Abzada, Jacqui";"M"
5834;"Acaso, Félix";"M"
5873;"Accardo, Tommaso";"M"
5894;"Acciarito, Frankie";"M"
5901;"Accinelli, Luis";"M"
5909;"Accioly, Nilson";"M"
5917;"Accolas, Raymond";"M"
5969;"Ace (XV)";"M"
5971;"Ace (XVII)";"M"
5988;"Ace, Martin";"M"
6096;"Acevebo, Art";"M"
6163;"Acevedo, Jon";"M"
6173;"Acevedo, Kirk";"M"
6224;"Aceves Castañeda, Luis";"M"
6292;"Achar, Ravi";"M"
6293;"Achara, Basile";"M"
6360;"Achdjian, Patrick";"M"
6369;"Achee";"M"
6403;"Acheson, Dean (I)";"M"
6409;"Acheson, James (II)";"M"
6413;"Acheson, Mark";"M"
6442;"Achilles, Damian";"M"
6507;"Achorn, John";"M"
6528;"Achtel, Dieter";"M"
6584;"Acimovic, Dejan";"M"
6685;"Ackerman, Don (III)";"M"
6692;"Ackerman, Forrest J";"M"
6719;"Ackerman, Karl";"M"
6742;"Ackerman, Robert (I)";"M"
6751;"Ackerman, Stanley";"M"
6760;"Ackerman, Walter";"M"
6830;"Ackland, Joss";"M"
6837;"Ackland, Rodney";"M"
6845;"Ackler, Joseph";"M"
6852;"Ackles, Ken";"M"
6870;"Ackman, Cole";"M"
6879;"Ackridge, Bill";"M"
6893;"Ackroyd, Jack (II)";"M"
6959;"Aconito Deribatti, Francesco";"M"
7058;"Acosta, David (I)";"M"
7072;"Acosta, Enrique (I)";"M"
7075;"Acosta, Eric (II)";"M"
7126;"Acosta, José Alberto";"M"
7155;"Acosta, Manuel";"M"
7197;"Acosta, Richard";"M"
7246;"Acovone, Jay";"M"
7306;"Acres, Graham";"M"
7349;"Acton, David (I)";"M"
7370;"Acton, Spencer";"M"
7389;"Acuff, David";"M"
7390;"Acuff, Eddie";"M"
7426;"Acunzo, Giseppe";"M"
7550;"Adachi, Yoshi";"M"
7598;"Adair, Gilbert";"M"
7636;"Adair, Robert (I)";"M"
7650;"Adair, Tim (II)";"M"
7654;"Adair-Rios, Mark";"M"
7662;"Adakai-Nez, Randy";"M"
7716;"Adam, Acram";"M"
7811;"Adam, Joel";"M"
7825;"Adam, Ken";"M"
7882;"Adam, Ronald";"M"
8124;"Adamonis, John";"M"
8125;"Adamonis, Kyle";"M"
8138;"Adamos, Archie";"M"
8192;"Adams Jr., Quincy";"M"
8214;"Adams, Albert (I)";"M"
8257;"Adams, Arthur (I)";"M"
8260;"Adams, Ash (I)";"M"
8308;"Adams, Blake";"M"
8309;"Adams, Bob (I)";"M"
8325;"Adams, Brandon Quintin";"M"
8361;"Adams, Bryan (I)";"M"
8385;"Adams, Carroll";"M"
8393;"Adams, Cedric (I)";"M"
8484;"Adams, Daniel (V)";"M"
8498;"Adams, Dave (I)";"M"
8519;"Adams, David (VII)";"M"
8566;"Adams, Doc";"M"
8571;"Adams, Don (I)";"M"
8579;"Adams, Donald (I)";"M"
8595;"Adams, Ed (I)";"M"
8597;"Adams, Eddie (III)";"M"
8621;"Adams, Erik";"M"
8623;"Adams, Ernie (I)";"M"
8624;"Adams, Ernie (II)";"M"
8628;"Adams, Evan (I)";"M"
8652;"Adams, Gary (I)";"M"
8692;"Adams, Guilford";"M"
8703;"Adams, Harry";"M"
8704;"Adams, Harvey";"M"
8730;"Adams, J. Todd";"M"
8732;"Adams, J. Wesley";"M"
8733;"Adams, J.B.";"M"
8737;"Adams, Jack (IV)";"M"
8745;"Adams, Jacob (I)";"M"
8785;"Adams, Jay (I)";"M"
8794;"Adams, Jeb Stuart";"M"
8817;"Adams, Jesse (I)";"M"
8821;"Adams, Jesse (VIII)";"M"
8832;"Adams, Joe (IV)";"M"
8883;"Adams, Jonathan (I)";"M"
8884;"Adams, Jonathan (II)";"M"
8919;"Adams, Joshua A.";"M"
8992;"Adams, Lee (I)";"M"
9014;"Adams, Lloyd";"M"
9020;"Adams, Lowden";"M"
9037;"Adams, Manley";"M"
9049;"Adams, Mark (XIII)";"M"
9065;"Adams, Martin (I)";"M"
9071;"Adams, Mason (I)";"M"
9074;"Adams, Matt (I)";"M"
9097;"Adams, Michael (I)";"M"
9180;"Adams, Nick (I)";"M"
9233;"Adams, Peter (I)";"M"
9235;"Adams, Peter (V)";"M"
9244;"Adams, Phil (I)";"M"
9253;"Adams, R.J.";"M"
9259;"Adams, Randall (I)";"M"
9284;"Adams, Richard (VIII)";"M"
9299;"Adams, Rick (III)";"M"
9303;"Adams, Rob (I)";"M"
9308;"Adams, Robert (I)";"M"
9310;"Adams, Robert (IV)";"M"
9369;"Adams, Samuel (I)";"M"
9404;"Adams, Shea (I)";"M"
9407;"Adams, Simon (I)";"M"
9419;"Adams, Stan (I)";"M"
9422;"Adams, Stanley (I)";"M"
9431;"Adams, Steve (I)";"M"
9451;"Adams, T.C. (I)";"M"
9457;"Adams, Ted (I)";"M"
9462;"Adams, Terry (III)";"M"
9471;"Adams, Thomas (I)";"M"
9481;"Adams, Timothy (I)";"M"
9492;"Adams, Tom (I)";"M"
9506;"Adams, Tony (I)";"M"
9557;"Adams, Warren Frederick";"M"
9577;"Adams, William (II)";"M"
9581;"Adams, Willie (I)";"M"
9622;"Adamski, Michael (II)";"M"
9632;"Adamson, 'J.J.' Joseph Otieno";"M"
9649;"Adamson, Christopher (I)";"M"
9650;"Adamson, Chuck";"M"
9656;"Adamson, David John";"M"
9661;"Adamson, Frank (I)";"M"
9670;"Adamson, James (I)";"M"
9683;"Adamson, Joseph";"M"
9685;"Adamson, Kent";"M"
9698;"Adamson, Patrick";"M"
9703;"Adamson, Raymond";"M"
9734;"Adamstein, Dana";"M"
9842;"Adcock, Kirk";"M"
9860;"Adcox-Hernandez, Thom";"M"
9968;"Addie, Robert";"M"
9981;"Addington, John (I)";"M"
10001;"Addis, Keith";"M"
10009;"Addis, Richard (I)";"M"
10013;"Addison, Bernard (I)";"M"
10054;"Addison, Mark (I)";"M"
10078;"Addison, Walter";"M"
10095;"Addobbati, Giuseppe";"M"
10099;"Addota, Kip";"M"
10102;"Adducci, Franco";"M"
10113;"Addy, Mark";"M"
10119;"Addy, Wesley";"M"
10120;"Addy, William";"M"
10128;"Ade, Dayo";"M"
10132;"Ade, Herbie";"M"
10196;"Adedunyo, Obaka";"M"
10236;"Adejugbe, Ayo";"M"
10345;"Adelman, Jason (I)";"M"
10356;"Adelman, Skippy";"M"
10394;"Adelstein, Paul";"M"
10406;"Adem, Yashaw";"M"
10421;"Ademir Dos Santos, Jose";"M"
10491;"Ader, Bob";"M"
10519;"Aderias, Frank";"M"
10527;"Aderneck, Stephen";"M"
10528;"Aderrahim, Ahmed";"M"
10531;"Ades, Daniel";"M"
10559;"Adet, Georges";"M"
10589;"Adeyemi, Ayo";"M"
10668;"Adi, Cesar";"M"
10674;"Adiarte, Patrick";"M"
10698;"Adido, David";"M"
10765;"Adisa, Lawrence B.";"M"
10842;"Adjeri, Ranzi";"M"
10887;"Adkins, David (I)";"M"
10910;"Adkins, Jeff";"M"
10927;"Adkins, Loren";"M"
10950;"Adkins, Richard C.";"M"
10957;"Adkins, Seth (I)";"M"
11038;"Adler, Bill (I)";"M"
11047;"Adler, Bruce";"M"
11052;"Adler, Charles (I)";"M"
11084;"Adler, Felix (I)";"M"
11087;"Adler, Frank J.";"M"
11105;"Adler, Henry";"M"
11117;"Adler, Jay";"M"
11122;"Adler, Jerry (I)";"M"
11134;"Adler, Jonathan (II)";"M"
11159;"Adler, Luther";"M"
11165;"Adler, Matt";"M"
11168;"Adler, Michael (I)";"M"
11202;"Adler, Roger";"M"
11261;"Adlon, Louis";"M"
11267;"Adlum, Zane";"M"
11269;"Adly Guirgis, Stephen";"M"
11438;"Adonis, Frank";"M"
11465;"Adorf, Mario";"M"
11499;"Adoti, Razaaq";"M"
11502;"Adouani, Mustapha";"M"
11548;"Adriaans, Mark";"M"
11590;"Adrian, Bob (I)";"M"
11605;"Adrian, George (I)";"M"
11625;"Adrian, Mark (II)";"M"
11644;"Adrian, Walter";"M"
11703;"Adric, Daniel";"M"
11723;"Adrisani, Emilio";"M"
11762;"Adu, Frank";"M"
11771;"Adu, Robinson Frank";"M"
11833;"Adway, Dwayne";"M"
11868;"Adzovic, Jadranka";"M"
11882;"Adé, Eric";"M"
11966;"Aeros, Germain";"M"
12121;"Affif, Ron";"M"
12127;"Affleck, Ben";"M"
12130;"Affleck, Casey";"M"
12137;"Affleck, Rab";"M"
12193;"Afifi, Mohammed (I)";"M"
12308;"Afrakhan, Behrooz";"M"
12398;"Afshar, Ali";"M"
12544;"Agajanian Jr., J.C.";"M"
12547;"Agajanian, Christopher J.C.";"M"
12564;"Agami, Al";"M"
12629;"Agar, John";"M"
12663;"Agarwal, Anirudh";"M"
12712;"Agashe, Mohan";"M"
12738;"Agata, Toshiya (I)";"M"
12871;"Agee";"M"
12874;"Agee, Arthur";"M"
12875;"Agee, Arthur 'Bo'";"M"
12883;"Agee, Jerry";"M"
12884;"Agee, Joe 'Sweetie'";"M"
12899;"Agee, Timothy Dale";"M"
13061;"Agha, Jalal";"M"
13146;"Agie, Awaovieyi";"M"
13167;"Agins, Robert";"M"
13178;"Agirre, Ramón";"M"
13307;"Agnew, Iain";"M"
13310;"Agnew, James D.";"M"
13334;"Agnew, Spiro";"M"
13384;"Agona, Joel";"M"
13484;"Agostino, Salvatore";"M"
13500;"Agosto, William";"M"
13513;"Agoun, Nabil";"M"
13538;"Agrait, Carlos Joshua";"M"
13559;"Agranov, David";"M"
13618;"Agress, Harry";"M"
13621;"Agresta, Mike";"M"
13625;"Agresti, Ed";"M"
13636;"Agri, Antonio";"M"
13669;"Agrusso, Micheal";"M"
13700;"Aguado, Bill";"M"
13775;"Aguayo, Richard Todd";"M"
13825;"Aguero, Juan Manuel";"M"
13951;"Aguilar Jr., Robert";"M"
13984;"Aguilar, Andrew (III)";"M"
13987;"Aguilar, Anthony (I)";"M"
14017;"Aguilar, Carmelo";"M"
14083;"Aguilar, G.A.";"M"
14090;"Aguilar, George (I)";"M"
14124;"Aguilar, Jesus (I)";"M"
14144;"Aguilar, Joseph (I)";"M"
14236;"Aguilar, Perfideo";"M"
14327;"Aguilera, Eric";"M"
14525;"Aguirre, Genaro";"M"
14628;"Aguirre, Sergio (I)";"M"
14746;"Agustin, Marvin";"M"
14824;"Ah Mon, Lawrence";"M"
14882;"Ahamdloo, Hossein";"M"
14885;"Ahamed, Saikat";"M"
14951;"Ahdar, David";"M"
14993;"Ahearne, Tom";"M"
14994;"Ahed, Benyahim";"M"
15023;"Ahern, David (I)";"M"
15028;"Ahern, James 'Sporty'";"M"
15035;"Ahern, Liam (I)";"M"
15041;"Ahern, Pat";"M"
15053;"Ahern, Tim (I)";"M"
15060;"Aherne, Brian (I)";"M"
15066;"Aherne, Kieran";"M"
15068;"Aherne, Michael";"M"
15070;"Aherne, Patrick";"M"
15094;"Ahipene, Hori";"M"
15127;"Ahl, Georg (II)";"M"
15130;"Ahl, Michael";"M"
15133;"Ahlander, Bjorn";"M"
15183;"Ahlers, David Ozzie";"M"
15186;"Ahlers, Robert";"M"
15197;"Ahlf, Al";"M"
15283;"Ahlstedt, Börje";"M"
15309;"Ahlurlia, Jason";"M"
15314;"Ahluwalia, Gurjeet";"M"
15435;"Ahmadai, Obaid";"M"
15552;"Ahmed, Ahmed";"M"
15639;"Ahmed, Kamal (I)";"M"
15654;"Ahmed, Makoula";"M"
15840;"Ahmetovic, Nazifa";"M"
15911;"Ahn, Philip";"M"
15913;"Ahn, Philson";"M"
15914;"Ahn, Ralph";"M"
16037;"Ahola-Valo, Aleksanteri";"M"
16093;"Ahouari, Benhaïssa";"M"
16134;"Ahrens, Christopher (I)";"M"
16280;"Ahumada, Alfredo";"M"
16387;"Aicher, Marius";"M"
16448;"Aiden, James";"M"
16459;"Aidman, Charles";"M"
16473;"Aiello III, Danny";"M"
16475;"Aiello, Anthony (I)";"M"
16484;"Aiello, Danny";"M"
16511;"Aiello, Pier Francesco";"M"
16513;"Aiello, Pinky";"M"
16516;"Aiello, Rick";"M"
16645;"Aiken, Liam";"M"
16646;"Aiken, Loclann";"M"
16710;"Aikman, Luke";"M"
16713;"Aikman, Troy";"M"
16770;"Aimer, Travis Cody";"M"
16822;"Ainge, Danny";"M"
16843;"Ainley, Richard";"M"
16867;"Ainsley, Norman";"M"
17017;"Airey, Keith (I)";"M"
17024;"Airgood, Thomas";"M"
17033;"Airin";"M"
17035;"Airington, Michael";"M"
17043;"Airlie, Andrew";"M"
17057;"Airola, Jean-Louis";"M"
17094;"Aisenberg, Leonardo";"M"
17134;"Ait Fdil Ahmed, Mahamed";"M"
17168;"Aitchinson, Peter";"M"
17244;"Aitken, Tony (I)";"M"
17339;"Aizenberg, Lior";"M"
17436;"Ajaye, Franklyn";"M"
17462;"Ajdini, Florijan";"M"
17497;"Ajibade, Yemi";"M"
17670;"Akahoshi, Steve";"M"
17757;"Akar, Haydar";"M"
17768;"Akare, Thomas";"M"
18091;"Akerman, Jeremy";"M"
18152;"Akerstream, Marc";"M"
18167;"Akey, William";"M"
18337;"Aki (I)";"M"
18404;"Akima";"M"
18430;"Akimoto, Yôsuke";"M"
18487;"Akin, Philip";"M"
18541;"Akinnuoye-Agbaje, Adewale";"M"
18557;"Akins, Billy";"M"
18560;"Akins, Charles (I)";"M"
18562;"Akins, Claude";"M"
18574;"Akins, Joe";"M"
18587;"Akins, Sid";"M"
18640;"Akira, Sean";"M"
18671;"Akitsu, Hiroshi (I)";"M"
18687;"Akiyama, Denis";"M"
18830;"Akkus, Orhan";"M"
18847;"Aklin, Will";"M"
18962;"Akpata, Pearce";"M"
19014;"Akrawi, Mike";"M"
19015;"Akrawi, Romeo";"M"
19068;"Aksentiy, Yuriy";"M"
19220;"Akutagawa, Hiroshi";"M"
19607;"Al, Big (I)";"M"
19669;"al-Assad, Hafez";"M"
19692;"Al-Badri, Fadil";"M"
19728;"Al-Dawalem, Abdullah";"M"
19803;"Al-Hamd, Ismael";"M"
19847;"Al-Jalahma, Mohamad";"M"
19887;"Al-Khan, Ahmed";"M"
19888;"Al-Khan, Amer";"M"
19899;"Al-Khazraji, Jassim";"M"
20039;"Al-Qazwini, Sayed Moustafa";"M"
20056;"Al-Rashid, Dharma Harun";"M"
20181;"Al-Ujaimy, Fahd";"M"
20301;"Alacchi, Carl";"M"
20382;"Alagna, Salvatore";"M"
20403;"Alai, Dean";"M"
20413;"Alaimo, Marc";"M"
20414;"Alaimo, Michael (I)";"M"
20526;"Alam, John Shamsul";"M"
20583;"Alameda, Richard";"M"
20603;"Alamia, Giovanni";"M"
20682;"Alan, Christopher";"M"
20692;"Alan, Devon";"M"
20694;"Alan, Eric (I)";"M"
20711;"Alan, James";"M"
20723;"Alan, Kenyon";"M"
20823;"Alaniz, Rico";"M"
20866;"Alansu, John";"M"
20930;"Alarcon, Lance";"M"
20979;"Alarcón, Luis (I)";"M"
21045;"Alary, Richard";"M"
21078;"Alaskey, Joe";"M"
21120;"Alatis, Savas";"M"
21121;"Alatis, Tony";"M"
21133;"Alatowa, Haidar";"M"
21243;"Alazraqui, Carlos";"M"
21293;"Alba, Jaime (I)";"M"
21309;"Alba, Juan";"M"
21345;"Alba, Tito";"M"
21357;"Albacete, Javier";"M"
21389;"Albala, Michael (I)";"M"
21408;"Albalá, Javier";"M"
21416;"Alban, Carlo";"M"
21429;"Alban, Michael";"M"
21463;"Albanese, Frank";"M"
21477;"Albanese, Michael (I)";"M"
21478;"Albanese, Michael (II)";"M"
21524;"Albano, John (I)";"M"
21528;"Albano, Lou";"M"
21588;"Albarrán, Gerardo";"M"
21603;"Albasiny, John";"M"
21633;"Albe, Paul";"M"
21635;"Albeck, Andy";"M"
21652;"Albee, Josh";"M"
21681;"Albenque, Patrick";"M"
21743;"Alberman, David";"M"
21745;"Albern, Tim";"M"
21749;"Alberni, Luis";"M"
21752;"Albero, Gus";"M"
21778;"Albers, Hans";"M"
21836;"Albert, Andrew (I)";"M"
21878;"Albert, Don (II)";"M"
21881;"Albert, Eddie (I)";"M"
21903;"Albert, Greg (I)";"M"
21913;"Albert, James (I)";"M"
21960;"Albert, Marv (I)";"M"
21981;"Albert, Peter (III)";"M"
21992;"Albert, Ralf";"M"
22011;"Albert, Steve (I)";"M"
22031;"Albert, Wil";"M"
22062;"Alberti, Fritz";"M"
22063;"Alberti, Gigio";"M"
22110;"Albertini, Michel";"M"
22306;"Albertson, Frank (I)";"M"
22310;"Albertson, Jack";"M"
22319;"Albertson, Sean";"M"
22339;"Alberty, Karl-Otto";"M"
22395;"Albiez, Lars";"M"
22402;"Albin, Andy";"M"
22425;"Albinet, Vasile";"M"
22442;"Albinus, Jens";"M"
22521;"Alborough, Roger";"M"
22629;"Albrecht, Richard (II)";"M"
22675;"Albridge, Kevin";"M"
22690;"Albright, Dan (I)";"M"
22702;"Albright, Gerald";"M"
22703;"Albright, Hardie";"M"
22708;"Albright, Jay (I)";"M"
22711;"Albright, John (I)";"M"
22740;"Albright, Wally";"M"
22814;"Albuquerque, Martihino";"M"
22816;"Albuquerque, Nicolas";"M"
22872;"Alcaide, Chris";"M"
22950;"Alcan, Peter";"M"
22968;"Alcantar, Tony";"M"
23038;"Alcaraz, Hermenegildo";"M"
23092;"Alcazar, Christophe";"M"
23112;"Alcaïs, Yves";"M"
23141;"Alciatore, Henri";"M"
23191;"Alcocer, Mario";"M"
23258;"Alcorn, William";"M"
23273;"Alcott, Leslie";"M"
23280;"Alcott, Todd (I)";"M"
23337;"Alcázar, Damián";"M"
23353;"Alcázar, Ángel";"M"
23363;"Alcíbar, Miguel";"M"
23364;"Alcón, Alfredo";"M"
23371;"Alda, Alan";"M"
23372;"Alda, Antony";"M"
23401;"Aldama, Johnny";"M"
23454;"Aldao Rodríguez, Ricardo";"M"
23480;"Alday, Luis";"M"
23525;"Alden, Andrew (I)";"M"
23538;"Alden, Eric (I)";"M"
23563;"Alden, Norman";"M"
23566;"Alden, Richard";"M"
23571;"Alden, Steve (I)";"M"
23602;"Alder, Don";"M"
23610;"Alder, John (I)";"M"
23627;"Alder, Van";"M"
23633;"Alderdice, Martin";"M"
23645;"Alderette, Robert";"M"
23666;"Alderman, Jason (I)";"M"
23668;"Alderman, John";"M"
23685;"Alderman, Ted";"M"
23704;"Alderson, Erville";"M"
23705;"Alderson, George (I)";"M"
23712;"Alderson, John (I)";"M"
23839;"Aldredge, Tom";"M"
23874;"Aldrich, Fred (I)";"M"
23900;"Aldrich, Nathan Dana";"M"
23906;"Aldrich, Robert (I)";"M"
23911;"Aldrich, William";"M"
23930;"Aldridge, Bobby";"M"
23950;"Aldridge, Eddie";"M"
23957;"Aldridge, Grant";"M"
23968;"Aldridge, Jonathan";"M"
23979;"Aldridge, Michael";"M"
23998;"Aldrin, Buzz";"M"
24014;"Aldunate, Gabriel";"M"
24031;"Ale, Guy";"M"
24035;"Aleandri, Emelise";"M"
24059;"Alecksen, Karn";"M"
24068;"Aled, Gruffudd";"M"
24191;"Alejan, Sam";"M"
24202;"Alejandrino, Alberto";"M"
24275;"Alekan, Henri";"M"
24303;"Aleksander, Grant";"M"
24307;"Aleksander, Stefan";"M"
24327;"Aleksandrov, Boris (II)";"M"
24332;"Aleksandrov, Grigori";"M"
24468;"Aleksiev, Dimiter";"M"
24575;"Alemán, Alejandro (I)";"M"
24646;"Aleong, Aki";"M"
24676;"Ales, John";"M"
24694;"Alesi, Filippo";"M"
24696;"Alesia, Frank";"M"
24717;"Alessandri, Lorenzo";"M"
24734;"Alessandro, Anthony";"M"
24751;"Alessandroni, Henry";"M"
24770;"Alessi, J.T.";"M"
24773;"Alessi, Joseph (I)";"M"
24809;"Aletter, Frank";"M"
24909;"Alex, Joe (I)";"M"
24910;"Alex, Jon";"M"
24947;"Alexakis, Art";"M"
24997;"Alexander, Aaron (III)";"M"
25030;"Alexander, Alphonso";"M"
25056;"Alexander, Anton";"M"
25066;"Alexander, Ben (I)";"M"
25093;"Alexander, Brandon (I)";"M"
25104;"Alexander, Brett (I)";"M"
25126;"Alexander, Bruce (I)";"M"
25127;"Alexander, Bruce (IX)";"M"
25135;"Alexander, Bruno (I)";"M"
25150;"Alexander, Carmen J.";"M"
25194;"Alexander, Clair D.";"M"
25223;"Alexander, Cory (I)";"M"
25234;"Alexander, Cris";"M"
25265;"Alexander, David (IV)";"M"
25297;"Alexander, David James";"M"
25351;"Alexander, Edward";"M"
25360;"Alexander, Emil";"M"
25373;"Alexander, Ernie (I)";"M"
25380;"Alexander, Fay";"M"
25387;"Alexander, Flex (I)";"M"
25402;"Alexander, Gabriel";"M"
25484;"Alexander, J.C. (I)";"M"
25488;"Alexander, Jace";"M"
25490;"Alexander, Jack (III)";"M"
25530;"Alexander, Jason (I)";"M"
25541;"Alexander, Jaymz";"M"
25552;"Alexander, Jerome";"M"
25575;"Alexander, John (I)";"M"
25576;"Alexander, John (II)";"M"
25628;"Alexander, Keith (I)";"M"
25645;"Alexander, Kenny";"M"
25657;"Alexander, King";"M"
25660;"Alexander, Kirk (II)";"M"
25668;"Alexander, Kurt";"M"
25687;"Alexander, Leo";"M"
25711;"Alexander, Luc";"M"
25746;"Alexander, Markus";"M"
25753;"Alexander, Matt (I)";"M"
25771;"Alexander, Max (II)";"M"
25798;"Alexander, Michael G.";"M"
25811;"Alexander, Mo";"M"
25812;"Alexander, Monty";"M"
25829;"Alexander, Newell (I)";"M"
25846;"Alexander, O'Clair";"M"
25865;"Alexander, Paul (I)";"M"
25882;"Alexander, Peter (III)";"M"
25913;"Alexander, Ricardo";"M"
25914;"Alexander, Richard (I)";"M"
25915;"Alexander, Richard (II)";"M"
25924;"Alexander, Richard D.";"M"
25939;"Alexander, Robert (I)";"M"
25941;"Alexander, Robert (IV)";"M"
25963;"Alexander, Roland";"M"
25964;"Alexander, Rolf";"M"
26027;"Alexander, Shane (I)";"M"
26048;"Alexander, Stan (I)";"M"
26078;"Alexander, T.S.";"M"
26088;"Alexander, Terry (I)";"M"
26146;"Alexander, Victor (IV)";"M"
26154;"Alexander, Wayne (I)";"M"
