"movieid";"title";"year"
1709892;"Agnes Browne (1999)";"1999"
1709901;"Agnes of God (1985)";"1985"
1710609;"Ai no borei (1978)";"1978"
1710622;"Ai no korîda (1976)";"1976"
1710673;"Ai qing wan sui (1994)";"1994"
1710994;"Aimée & Jaguar (1999)";"1999"
1711133;"Air America (1990)";"1990"
1711143;"Air Bud (1997)";"1997"
1711145;"Air Bud: Golden Receiver (1998)";"1998"
1711175;"Air Force One (1997)";"1997"
1711356;"Airheads (1994)";"1994"
1711383;"Airplane II: The Sequel (1982)";"1982"
1711384;"Airplane! (1980)";"1980"
1711393;"Airport '77 (1977)";"1977"
1711395;"Airport (1970)";"1970"
1711398;"Airport 1975 (1974)";"1974"
1712152;"Akira (1988)";"1988"
1713183;"Aladdin (1992)";"1992"
1713499;"Alaska (1996)";"1996"
1713755;"Albino Alligator (1996)";"1996"
1714481;"Algiers (1938)";"1938"
1714991;"Alice et Martin (1998)";"1998"
1715025;"Alice in Wonderland (1951)";"1951"
1715186;"Alien (1979)";"1979"
1715253;"Alien Escape (1997)";"1997"
1715288;"Alien Nation (1988)";"1988"
1715380;"Alien: Resurrection (1997)";"1997"
1715404;"Aliens (1986)";"1986"
1715607;"Alive (1993)";"1993"
1715793;"All About Eve (1950)";"1950"
1716019;"All Dogs Go to Heaven (1989)";"1989"
1716020;"All Dogs Go to Heaven 2 (1996)";"1996"
1716411;"All Over Me (1997)";"1997"
1716452;"All Quiet on the Western Front (1930)";"1930"
1716615;"All That Jazz (1979)";"1979"
1717077;"All the King's Men (1949)";"1949"
1717117;"All the Rage (1999)";"1999"
1717144;"All the Vermeers in New York (1990)";"1990"
1717455;"Allan Quatermain and the Lost City of Gold (1986)";"1986"
1717910;"Alligator (1980)";"1980"
1718318;"Almost Famous (2000)";"2000"
1718342;"Almost Heroes (1998)";"1998"
1718968;"Alphaville, une étrange aventure de Lemmy Caution (1965)";"1965"
1719502;"Alvarez Kelly (1966)";"1966"
1719614;"Always Tell Your Wife (1923)";"1923"
1720040;"Amadeus (1984)";"1984"
1720443;"Amateur (1994)";"1994"
1721568;"American Beauty (1999)";"1999"
1721607;"American Buffalo (1996)";"1996"
1721750;"American Dream (1990)";"1990"
1721864;"American Flyers (1985)";"1985"
1721888;"American Gigolo (1980)";"1980"
1721919;"American Graffiti (1973)";"1973"
1721967;"American History X (1998)";"1998"
1722098;"American Movie (1999)";"1999"
1722164;"American Pie (1999)";"1999"
1722174;"American Pimp (1999)";"1999"
1722181;"American Pop (1981)";"1981"
1722198;"American Psycho (2000)";"2000"
1722327;"American Strays (1996)";"1996"
1722395;"American Virgin (1999)";"1999"
1722617;"Amic/Amat (1999)";"1999"
1722761;"Amistad (1997)";"1997"
1722776;"Amityville 3-D (1983)";"1983"
1722777;"Amityville II: The Possession (1982)";"1982"
1723002;"Among Giants (1998)";"1998"
1723532;"Amos & Andrew (1993)";"1993"
1724000;"An Affair to Remember (1957)";"1957"
1724037;"An Alan Smithee Film: Burn Hollywood Burn (1997)";"1997"
1724179;"An American Tail (1986)";"1986"
1724180;"An American Tail: Fievel Goes West (1991)";"1991"
1724190;"An American Werewolf in London (1981)";"1981"
1724193;"An American Werewolf in Paris (1997)";"1997"
1724201;"An American in Paris (1951)";"1951"
1724413;"An Awfully Big Adventure (1995)";"1995"
1724880;"An Ideal Husband (1999)";"1999"
1725437;"An Uninvited Guest (2010)";"2010"
1725774;"Anaconda (1997)";"1997"
1726761;"Analyze This (1999)";"1999"
1726934;"Anastasia (1997)";"1997"
1727017;"Anatomie (2000)";"2000"
1727082;"Anatomy of a Murder (1959)";"1959"
1727237;"Anchors Aweigh (1945)";"1945"
1727348;"And God Created Woman (1988)";"1988"
1727413;"And Now for Something Completely Different (1971)";"1971"
1727885;"Andre (1994)";"1994"
1728742;"Angel Baby (1995)";"1995"
1728802;"Angel Heart (1987)";"1987"
1728889;"Angel and the Badman (1947)";"1947"
1728948;"Angel on My Shoulder (1946)";"1946"
1729005;"Angela (1995)";"1995"
1729026;"Angela's Ashes (1999)";"1999"
1729240;"Angels and Insects (1995)";"1995"
1729260;"Angels in the Outfield (1994)";"1994"
1729569;"Angus (1995)";"1995"
1729579;"Angustia (1947)";"1947"
1729818;"Animal House (1978)";"1978"
1730457;"Anna (1918)";"1918"
1730566;"Anna Karenina (1997)";"1997"
1730640;"Anna and the King (1999)";"1999"
1730836;"Anne Frank Remembered (1995)";"1995"
1730975;"Annie Hall (1977)";"1977"
1731412;"Another Day in Paradise (1998)";"1998"
1731505;"Another Man's Poison (1951)";"1951"
1731582;"Another Stakeout (1993)";"1993"
1732344;"Antonia (1995)";"1995"
1732496;"Antz (1998)";"1998"
1732658;"Any Given Sunday (1999)";"1999"
1732858;"Anywhere But Here (1999)";"1999"
1733111;"Aparajito (1956)";"1956"
1733479;"Apocalypse Now (1979)";"1979"
1733566;"Apollo 13 (1995)";"1995"
1734162;"April Fool's Day (1986)";"1986"
1734321;"Apt Pupil (1998)";"1998"
1734369;"Apur Sansar (1959)";"1959"
1734803;"Arachnophobia (1990)";"1990"
1735791;"Arguing the World (1998)";"1998"
1736211;"Arlington Road (1999)";"1999"
1736268;"Armageddon (1998)";"1998"
1736362;"Armed and Dangerous (1986)";"1986"
1736592;"Army of Darkness (1992)";"1992"
1736794;"Around the World in 80 Days (2004)";"2004"
1737340;"Arsenic and Old Lace (1944)";"1944"
1737713;"Artemisia (1997)";"1997"
1737766;"Arthur (1981)";"1981"
1738481;"As Good as It Gets (1997)";"1997"
1739234;"Asfour Stah (1990)";"1990"
1740732;"Assassination (1987)";"1987"
1740752;"Assassins (1995)";"1995"
1740811;"Assault on Precinct 13 (1976)";"1976"
1741487;"Asylum (1998)";"1998"
1741682;"At First Sight (1999)";"1999"
1742509;"Atlantic City (1980)";"1980"
1743028;"Attack of the Killer Tomatoes! (1978)";"1978"
1743689;"Auch Zwerge haben klein angefangen (1970)";"1970"
1743852;"Audrey Rose (1977)";"1977"
1744178;"August (1996)";"1996"
1744391;"Auntie Mame (1958)";"1958"
1744809;"Austin Powers: International Man of Mystery (1997)";"1997"
1744811;"Austin Powers: The Spy Who Shagged Me (1999)";"1999"
1745373;"Autumn Heart (2003)";"2003"
1745406;"Autumn in New York (2000)";"2000"
1745530;"Avalanche (1978)";"1978"
1746382;"Awakenings (1990)";"1990"
1746829;"Ayn Rand: A Sense of Life (1997)";"1997"
1747382;"Azúcar amarga (1996)";"1996"
1747494;"B*A*P*S (1997)";"1997"
1747545;"B. Monkey (1998)";"1998"
1747649;"BASEketball (1998)";"1998"
1747899;"Ba wang bie ji (1993)";"1993"
1748196;"Babe (1995)";"1995"
1748219;"Babe: Pig in the City (1998)";"1998"
1748315;"Babes in Toyland (1934)";"1934"
1748317;"Babes in Toyland (1961)";"1961"
1748754;"Baby Geniuses (1999)";"1999"
1748996;"Baby: Secret of the Lost Legend (1985)";"1985"
1749026;"Babyfever (1994)";"1994"
1749222;"Bacheha-Ye aseman (1997)";"1997"
1749247;"Bachelor Party (1984)";"1984"
1749438;"Back Stage (1917)";"1917"
1749683;"Back to School (1986)";"1986"
1749731;"Back to the Future (1985)";"1985"
1749735;"Back to the Future Part II (1989)";"1989"
1749737;"Back to the Future Part III (1990)";"1990"
1749806;"Backbeat (1994)";"1994"
1749891;"Backdraft (1991)";"1991"
1750364;"Bad Boys (1995)";"1995"
1750424;"Bad Company (1995)";"1995"
1750510;"Bad Girls (1994)";"1994"
1750660;"Bad Lieutenant (1992)";"1992"
1750728;"Bad Moon (1996)";"1996"
1750816;"Bad Taste (1987)";"1987"
1751059;"Badkonake sefid (1995)";"1995"
1751071;"Badlands (1973)";"1973"
1751872;"Bait (2000)";"2000"
1753266;"Balto (1995)";"1995"
1753348;"Bambi (1942)";"1942"
1753400;"Bamboozled (2000)";"2000"
1753578;"Bananas (1971)";"1971"
1753695;"Band of the Hand (1986)";"1986"
1753837;"Bandit Queen (1994)";"1994"
1753860;"Bandits (1997)";"1997"
1754754;"Baraka (1992)";"1992"
1754799;"Barb Wire (1996)";"1996"
1754884;"Barbarella (1968)";"1968"
1755112;"Barcelona (1994)";"1994"
1755524;"Barefoot in the Park (1967)";"1967"
1755813;"Barenaked in America (1999)";"1999"
1756051;"Barney's Great Adventure (1998)";"1998"
1756391;"Barry Lyndon (1975)";"1975"
1756768;"Basic Instinct (1992)";"1992"
1756902;"Basquiat (1996)";"1996"
1756980;"Bastard Out of Carolina (1996)";"1996"
1757342;"Batman & Robin (1997)";"1997"
1757347;"Batman (1989)";"1989"
1757367;"Batman Forever (1995)";"1995"
1757378;"Batman Returns (1992)";"1992"
1757423;"Batman: Mask of the Phantasm (1993)";"1993"
1757465;"Baton Rouge (1988)";"1988"
1757485;"Bats (1999)";"1999"
1757698;"Battle for the Planet of the Apes (1973)";"1973"
1757893;"Battlefield Earth (2000)";"2000"
1758003;"Battling Butler (1926)";"1926"
1758767;"Beach Party (1963)";"1963"
1758856;"Bean (1997)";"1997"
1759189;"Beat the Devil (1953)";"1953"
1759448;"Beautiful (2000)";"2000"
1759573;"Beautiful Girls (1996)";"1996"
1759654;"Beautiful People (1999)";"1999"
1759685;"Beautiful Thing (1996)";"1996"
1759736;"Beauty (1921)";"1921"
1759851;"Beauty and the Beast (1991)";"1991"
1759983;"Beavis and Butt-Head Do America (1996)";"1996"
1760306;"Bed of Roses (1996)";"1996"
1760386;"Bedknobs and Broomsticks (1971)";"1971"
1760449;"Bedrooms and Hallways (1998)";"1998"
1760586;"Beefcake (1998)";"1998"
1760752;"Beetle Juice (1988)";"1988"
1760876;"Before Sunrise (1995)";"1995"
1760927;"Before and After (1996)";"1996"
1760978;"Before the Rain (1994)";"1994"
1762161;"Being Human (1994)";"1994"
1762174;"Being John Malkovich (1999)";"1999"
1762229;"Being There (1979)";"1979"
1762644;"Belizaire the Cajun (1986)";"1986"
1762654;"Bell Book and Candle (1958)";"1958"
1762853;"Belle de jour (1967)";"1967"
1763019;"Belly (1998)";"1998"
1763083;"Beloved (1998)";"1998"
1763465;"Ben-Hur (1959)";"1959"
1763653;"Beneath the Planet of the Apes (1970)";"1970"
1763877;"Benji (1974)";"1974"
1763883;"Benji the Hunted (1987)";"1987"
1763910;"Benny & Joon (1993)";"1993"
1763974;"Bent (1997)";"1997"
1764861;"Besieged (1998)";"1998"
1765082;"Best Laid Plans (1999)";"1999"
1765108;"Best Men (1997)";"1997"
1765164;"Best in Show (2000)";"2000"
1765347;"Best of the Best 3: No Turning Back (1995)";"1995"
1765652;"Betrayed (1988)";"1988"
1765787;"Better Living (1998)";"1998"
1765789;"Better Living Through Circuitry (1999)";"1999"
1765811;"Better Off Dead... (1985)";"1985"
1765827;"Better Than Chocolate (1999)";"1999"
1766407;"Beverly Hills Cop III (1994)";"1994"
1766427;"Beverly Hills Ninja (1997)";"1997"
1766668;"Beyond Bedlam (1994)";"1994"
1766849;"Beyond Rangoon (1995)";"1995"
1766884;"Beyond Silence (1960)";"1960"
1767110;"Beyond the Mat (1999)";"1999"
1767151;"Beyond the Poseidon Adventure (1979)";"1979"
1767537;"Bhaji on the Beach (1993)";"1993"
1768211;"Bian Lian (1997)";"1997"
1768389;"Bicentennial Man (1999)";"1999"
1768698;"Big (1988)";"1988"
1769145;"Big Bully (1996)";"1996"
1769408;"Big Daddy (1999)";"1999"
1769516;"Big Fella (1937)";"1937"
1769766;"Big Momma's House (2000)";"2000"
1769840;"Big Night (1996)";"1996"
1770285;"Big Trouble in Little China (1986)";"1986"
1770807;"Bikini Beach (1964)";"1964"
1771528;"Billy Madison (1995)";"1995"
1771672;"Billy's Holiday (1995)";"1995"
1771673;"Billy's Hollywood Screen Kiss (1998)";"1998"
1772092;"Bio-Dome (1996)";"1996"
1772497;"Bird of Prey (1995)";"1995"
1772500;"Bird on a Wire (1990)";"1990"
1772651;"Birdy (1984)";"1984"
1772934;"Bis ans Ende der Welt (1991)";"1991"
1773358;"Bitter Moon (1992)";"1992"
1773436;"Bittersweet Motel (2000)";"2000"
1773944;"Black Beauty (1994)";"1994"
1774349;"Black Dog (1998)";"1998"
1775245;"Black Sheep (1996)";"1996"
1775382;"Black Tar Heroin: The Dark End of the Street (2000)";"2000"
1775563;"Black and White (1910)";"1910"
1775747;"Blackbeard's Ghost (1968)";"1968"
1775854;"Blackmail (1929)";"1929"
1776052;"Blade (1998)";"1998"
1776063;"Blade Runner (1982)";"1982"
1776173;"Blame It on Rio (1984)";"1984"
1776338;"Blank Check (1994)";"1994"
1776407;"Blast from the Past (1999)";"1999"
1776556;"Blazing Saddles (1974)";"1974"
1776732;"Bless the Child (2000)";"2000"
1776893;"Blind Date (1987)";"1987"
1777297;"Blink (1994)";"1994"
1777374;"Bliss (1997)";"1997"
1777932;"Blood Beach (1980)";"1980"
1778025;"Blood Feast (1963)";"1963"
1778258;"Blood Simple. (1984)";"1984"
1778411;"Blood and Wine (1996)";"1996"
1778413;"Blood for Dracula (1974)";"1974"
1778514;"Blood on the Sun (1945)";"1945"
1778536;"Blood, Guts, Bullets and Octane (1998)";"1998"
1778697;"Bloodsport (1988)";"1988"
1778699;"Bloodsport 2 (1996)";"1996"
1779176;"Blown Away (1994)";"1994"
1779201;"Blowup (1966)";"1966"
1779349;"Blue Chips (1994)";"1994"
1779361;"Blue Collar (1978)";"1978"
1779474;"Blue Hawaii (1961)";"1961"
1779528;"Blue Juice (1995)";"1995"
1779735;"Blue Sky (1994)";"1994"
1779757;"Blue Streak (1999)";"1999"
1779835;"Blue Velvet (1986)";"1986"
1779868;"Blue in the Face (1995)";"1995"
1779914;"Bluebeard (1944)";"1944"
1780022;"Blues Brothers 2000 (1998)";"1998"
1780595;"Bob Roberts (1992)";"1992"
1780992;"Boca a boca (1995)";"1995"
1781241;"Body Heat (1981)";"1981"
1781274;"Body Parts (1991)";"1991"
1781295;"Body Shots (1999)";"1999"
1781303;"Body Snatchers (1993)";"1993"
1781518;"Bogus (1996)";"1996"
1781597;"Boiler Room (2000)";"2000"
1781603;"Boiling Point (1978)";"1978"
1783029;"Bonnie and Clyde (1967)";"1967"
1783282;"Boogie Nights (1997)";"1997"
1783500;"Boomerang (1992)";"1992"
1783641;"Bootmen (2000)";"2000"
1783685;"Booty Call (1997)";"1997"
1783892;"Bordello of Blood (1996)";"1996"
1784129;"Boricua's Bond (2000)";"2000"
1784206;"Born American (1986)";"1986"
1784275;"Born Yesterday (1950)";"1950"
1784416;"Born to Win (1971)";"1971"
1784663;"Bossa Nova (1964)";"1964"
1784877;"Bottle Rocket (1996)";"1996"
1785170;"Bound (1996)";"1996"
1785251;"Bound by Honor (1993)";"1993"
1785265;"Bound for Glory (1976)";"1976"
1785529;"Bowfinger (1999)";"1999"
1785755;"Boxing Helena (1993)";"1993"
1786099;"Boys (1996)";"1996"
1786124;"Boys Don't Cry (1999)";"1999"
1786136;"Boys Life 2 (1997)";"1997"
1786142;"Boys Life: Three Stories of Love, Lust, and Liberation (1994)";"1994"
1786183;"Boys and Girls (2000)";"2000"
1786236;"Boys on the Side (1995)";"1995"
1786413;"Braddock: Missing in Action III (1988)";"1988"
1786566;"Braindead (1992)";"1992"
1786921;"Brassed Off (1996)";"1996"
1787090;"Braveheart (1995)";"1995"
1787149;"Brazil (1985)";"1985"
1787428;"Breakdown (1951)";"1951"
1787511;"Breakfast at Tiffany's (1961)";"1961"
1787525;"Breakfast of Champions (1999)";"1999"
1787603;"Breaking Away (1979)";"1979"
1787911;"Breaking the Waves (1996)";"1996"
1788154;"Breathing Room (1996)";"1996"
1788165;"Breathless (1983)";"1983"
1788314;"Brenda Starr (1989)";"1989"
1788621;"Bride of Chucky (1998)";"1998"
1788624;"Bride of Frankenstein (1935)";"1935"
1788628;"Bride of Re-Animator (1989)";"1989"
1788636;"Bride of the Monster (1955)";"1955"
1788817;"Brief Encounter (1945)";"1945"
1789015;"Brighton Beach Memoirs (1986)";"1986"
1789145;"Bring It On (2000)";"2000"
1789259;"Bringing Out the Dead (1999)";"1999"
1789269;"Bringing Up Baby (1938)";"1938"
1789511;"British Intelligence (1940)";"1940"
1789692;"Broadcast News (1987)";"1987"
1789747;"Broadway Damage (1997)";"1997"
1789910;"Brokedown Palace (1999)";"1999"
1790007;"Broken Arrow (1996)";"1996"
1790082;"Broken English (1996)";"1996"
1790311;"Broken Vessels (1998)";"1998"
1790523;"Bronco Billy (1980)";"1980"
1790530;"Bronenosets Potyomkin (1925)";"1925"
1790753;"Brother Can You Spare a Dime (1975)";"1975"
1790780;"Brother Minister: The Assassination of Malcolm X (1994)";"1994"
1790984;"Brothers in Trouble (1995)";"1995"
1791085;"Brown's Requiem (1998)";"1998"
1792102;"Buck and the Preacher (1972)";"1972"
1792218;"Bud Abbott Lou Costello Meet Frankenstein (1948)";"1948"
1792281;"Budbringeren (1997)";"1997"
1792349;"Buddy (1997)";"1997"
1792363;"Buddy Boy (1999)";"1999"
1792523;"Buena Vista Social Club (1999)";"1999"
1792625;"Buffalo '66 (1998)";"1998"
1792713;"Buffy the Vampire Slayer (1992)";"1992"
1793297;"Bull Durham (1988)";"1988"
1793433;"Bulletproof (1996)";"1996"
1793451;"Bullets Over Broadway (1994)";"1994"
1793604;"Bulworth (1998)";"1998"
1794215;"Bure baruta (1998)";"1998"
1794255;"Burglar (1987)";"1987"
1794772;"Burnt Offerings (1976)";"1976"
1795157;"Bushwhacked (1995)";"1995"
1795427;"Bustin' Loose (1981)";"1981"
1795631;"But I'm a Cheerleader (1999)";"1999"
1795698;"Butch Cassidy and the Sundance Kid (1969)";"1969"
1795997;"Butterfly Kiss (1995)";"1995"
1796704;"Bye Bye Love (1995)";"1995"
1796731;"Bye-Bye (1995)";"1995"
1797310;"Büvös vadász (1994)";"1994"
1797365;"C'era una volta il West (1968)";"1968"
1797386;"C'est arrivé près de chez vous (1992)";"1992"
1798275;"Cabaret (1972)";"1972"
1798372;"Cabin Boy (1994)";"1994"
1798632;"Caddyshack (1980)";"1980"
1799339;"Calendar Girl (1993)";"1993"
1799603;"Caligula (1996)";"1996"
1801311;"Can't Hardly Wait (1998)";"1998"
1801574;"Canadian Bacon (1995)";"1995"
1801936;"Candleshoe (1977)";"1977"
1802055;"Candyman (1992)";"1992"
1802058;"Candyman: Farewell to the Flesh (1995)";"1995"
1802287;"Cannibal ferox (1981)";"1981"
1802676;"Cape Fear (1962)";"1962"
1802677;"Cape Fear (1991)";"1991"
1803115;"Captain Horatio Hornblower R.N. (1951)";"1951"
1803357;"Captives (1994)";"1994"
1803905;"Career Girls (1997)";"1997"
1803921;"Careful (1992)";"1992"
1804232;"Carlito's Way (1993)";"1993"
1804427;"Carmen (1984)";"1984"
1804484;"Carmen Miranda: Bananas Is My Business (1995)";"1995"
1804630;"Carnal Knowledge (1971)";"1971"
1804779;"Carne trémula (1997)";"1997"
1804898;"Carnival of Souls (1962)";"1962"
1804923;"Carnosaur (1993)";"1993"
1804924;"Carnosaur 2 (1995)";"1995"
1804925;"Carnosaur 3: Primal Species (1996)";"1996"
1804947;"Caro diario (1993)";"1993"
1805163;"Carpool (1996)";"1996"
1805225;"Carrie (1976)";"1976"
1805246;"Carried Away (1996)";"1996"
1805273;"Carrington (1995)";"1995"
1805799;"Casablanca (1942)";"1942"
1806151;"Casino (1995)";"1995"
1806217;"Casper (1995)";"1995"
1806794;"Cat Ballou (1965)";"1965"
1806845;"Cat People (1982)";"1982"
1806896;"Cat on a Hot Tin Roof (1958)";"1958"
1806914;"Cat's Eye (1985)";"1985"
1806940;"CatWalk (2010)";"2010"
1807303;"Catfish in Black Bean Sauce (1999)";"1999"
1807444;"Cats Don't Dance (1997)";"1997"
1807562;"Caught (1996)";"1996"
1807604;"Caught Up (1998)";"1998"
1807863;"Cavalcade (1933)";"1933"
1808298;"Cecil B. DeMented (2000)";"2000"
1808524;"Celebrity (1998)";"1998"
1808813;"Celtic Pride (1996)";"1996"
1809047;"Center Stage (2000)";"2000"
1809149;"Central do Brasil (1998)";"1998"
1809197;"Century (1993)";"1993"
1809431;"Cerro Torre: Schrei aus Stein (1991)";"1991"
1809724;"Ceux qui m'aiment prendront le train (1998)";"1998"
1809864;"Chacun cherche son chat (1996)";"1996"
1809984;"Chain Reaction (1996)";"1996"
1809998;"Chain of Fools (2000)";"2000"
1810092;"Chairman of the Board (1998)";"1998"
1810470;"Champagne (1928)";"1928"
1811382;"Chao ji ji hua (1993)";"1993"
1811626;"Charade (1963)";"1963"
1811722;"Chariots of Fire (1981)";"1981"
1812202;"Charlie, the Lonesome Cougar (1967)";"1967"
1812255;"Charlotte's Web (1973)";"1973"
1812339;"Charms Zwischenfälle (1996)";"1996"
1812450;"Chasers (1994)";"1994"
1812490;"Chasing Amy (1997)";"1997"
1813663;"Cheetah (1989)";"1989"
1815267;"Chicken Run (2000)";"2000"
1815901;"Child's Play (1988)";"1988"
1815914;"Child's Play 2 (1990)";"1990"
1815915;"Child's Play 3 (1991)";"1991"
1816153;"Children of a Lesser God (1986)";"1986"
1816171;"Children of the Corn (1984)";"1984"
1816175;"Children of the Corn II: The Final Sacrifice (1992)";"1992"
1816176;"Children of the Corn III: Urban Harvest (1995)";"1995"
1816182;"Children of the Damned (1964)";"1964"
1816238;"Children of the Revolution (1996)";"1996"
1816379;"Chill Factor (1999)";"1999"
1816691;"Chinatown (1974)";"1974"
1816742;"Chinese Box (1997)";"1997"
1817535;"Choices (1981)";"1981"
1817898;"Chopping Mall (1986)";"1986"
1818342;"Christine (1983)";"1983"
1818562;"Christmas Vacation (1989)";"1989"
1819155;"Chuck & Buck (2000)";"2000"
1819411;"Chung Hing sam lam (1994)";"1994"
1819870;"Chûshingura (1962)";"1962"
1820147;"Cienie (1988)";"1988"
1820288;"Cimarron (1931)";"1931"
1820400;"Cinderella (1950)";"1950"
1821008;"Circle of Friends (1995)";"1995"
